Name,FrameWidth,FrameHeight,FrameCount
Walk,32,48,8
Attack,72,80,11
Strike,72,64,9
Shoot,40,56,13
Sleep,24,32,2
Hurt,48,64,2
Idle,24,48,6
Swing,72,80,9
Double,56,64,16
Hop,24,88,10
Charge,32,40,10
Rotate,24,32,9
EventSleep,32,24,2
Wake,32,40,5
Eat,32,32,4
Tumble,24,32,8
Pose,24,40,3
Pull,40,40,7
Pain,32,48,12
Float,32,24,4
DeepBreath,32,40,9
Nod,24,40,3
Sit,24,40,3
LookUp,24,32,2
Sink,24,40,12
Trip,40,40,5
Laying,32,24,1
LeapForth,24,72,6
Head,24,40,1
Cringe,32,64,2
LostBalance,24,40,2
TumbleBack,24,32,10
Faint,32,40,4
HitGround,40,40,8
