Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,4
Attack,64,72,10
Shoot,40,48,12
RearUp,32,48,11
Sleep,24,24,2
Hurt,40,56,2
Idle,32,40,14
Swing,72,80,9
Double,56,64,16
Hop,32,88,10
Charge,32,40,10
Rotate,32,40,9
EventSleep,32,24,2
Wake,32,32,5
Eat,24,32,4
Tumble,24,40,8
Pose,24,48,3
Pull,24,40,7
Pain,32,40,12
Float,32,24,4
DeepBreath,24,48,9
Nod,32,40,3
Sit,24,40,3
LookUp,24,32,2
Sink,24,40,12
Trip,32,32,5
Laying,32,24,1
LeapForth,24,80,6
Head,24,40,1
Cringe,24,56,2
LostBalance,24,40,2
TumbleBack,24,40,10
Faint,40,32,4
HitGround,32,40,9
