Name,FrameWidth,FrameHeight,FrameCount
Walk,32,32,4
Attack,72,72,11
Strike,64,72,13
Withdraw,24,24,5
Sleep,24,32,2
Hurt,40,48,2
Idle,32,40,4
Swing,72,72,9
Double,48,56,16
Hop,32,80,10
Charge,24,32,10
Rotate,32,32,9
EventSleep,24,16,2
Wake,32,32,6
Eat,24,32,4
Tumble,24,32,8
Pose,24,32,3
Pull,32,40,7
Pain,32,40,12
Float,24,24,4
DeepBreath,24,32,9
Nod,32,32,3
Sit,24,32,3
LookUp,24,32,3
Sink,24,32,12
Trip,32,32,5
Laying,24,16,1
LeapForth,24,80,6
Head,24,40,1
Cringe,24,48,2
LostBalance,24,40,2
TumbleBack,24,32,10
Faint,32,32,4
HitGround,24,32,8
