Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,5
Attack,72,72,11
Shoot,40,40,13
RearUp,32,40,13
Sleep,24,24,2
Hurt,40,56,2
Idle,32,32,4
Swing,72,80,9
Double,48,56,16
Hop,24,80,10
Charge,32,32,10
Rotate,24,32,9
EventSleep,24,24,2
Wake,32,32,6
Eat,24,24,4
Tumble,24,40,8
Pose,24,40,5
Pull,32,32,7
Pain,32,40,12
Float,24,24,4
DeepBreath,24,32,9
Nod,24,32,3
Sit,24,32,3
LookUp,24,32,3
Sink,24,32,12
Trip,32,32,5
Laying,24,16,1
LeapForth,24,80,6
Head,24,40,1
Cringe,24,56,2
LostBalance,24,32,2
TumbleBack,24,32,10
Faint,32,32,4
HitGround,32,40,8
