Name,FrameWidth,FrameHeight,FrameCount
Walk,32,32,4
Attack,64,64,11
Kick,56,56,11
Strike,56,56,9
Sleep,32,24,2
Hurt,48,56,2
Idle,32,40,4
Swing,72,80,9
Double,56,56,16
Hop,32,88,10
Charge,32,40,10
Rotate,24,32,9
EventSleep,24,24,2
Wake,40,32,5
Eat,24,32,4
Tumble,24,32,8
Pose,32,40,3
Pull,40,40,7
Pain,40,40,12
Float,24,32,4
DeepBreath,24,32,9
Nod,24,40,3
Sit,24,32,3
LookUp,24,32,2
Sink,24,32,12
Trip,40,32,5
Laying,24,24,1
LeapForth,24,80,6
Head,24,40,1
Cringe,32,56,2
LostBalance,24,32,2
TumbleBack,24,32,10
Faint,32,32,4
HitGround,40,32,8
