Name,FrameWidth,FrameHeight,FrameCount
Walk,32,32,5
Attack,64,72,14
Shoot,24,48,11
FlapAround,24,40,18
Sleep,24,16,2
Hurt,48,48,2
Idle,24,40,5
Swing,72,72,9
Double,56,56,16
Hop,24,80,10
Charge,24,32,10
Rotate,24,24,9
EventSleep,24,16,2
Wake,24,24,5
Eat,24,24,4
Tumble,24,32,8
Pose,24,24,3
Pull,32,32,7
Pain,32,32,12
Float,24,24,4
DeepBreath,24,24,9
Nod,32,24,3
Sit,24,24,3
LookUp,24,24,2
Sink,24,24,12
Trip,24,24,5
Laying,24,16,1
LeapForth,24,64,6
Head,24,32,1
Cringe,24,48,2
LostBalance,24,24,2
TumbleBack,24,32,10
Faint,32,24,4
HitGround,32,32,9
