Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,4
Attack,72,80,11
Strike,72,72,10
Shoot,56,64,12
Sleep,32,40,2
Hurt,48,56,2
Idle,32,40,8
Swing,72,80,9
Double,56,64,16
Hop,32,80,10
Charge,32,40,10
Rotate,32,40,9
EventSleep,32,24,2
Wake,32,40,5
Eat,32,32,4
Tumble,24,40,8
Pose,32,40,4
Pull,40,48,7
Pain,32,48,12
Float,32,32,4
DeepBreath,32,40,9
Nod,32,40,3
Sit,32,32,3
LookUp,32,32,3
Sink,24,40,12
Trip,32,40,5
Laying,32,24,1
LeapForth,32,80,6
Head,32,48,1
Cringe,32,56,2
LostBalance,24,40,2
TumbleBack,24,40,10
Faint,32,40,4
HitGround,32,48,8
