Name,FrameWidth,FrameHeight,FrameCount
Walk,24,32,4
Attack,72,80,14
Strike,64,72,13
Shoot,48,48,12
Sleep,24,32,2
Hurt,48,64,2
Idle,32,56,6
Swing,80,88,9
Double,64,64,16
Hop,40,88,10
Charge,32,48,10
Rotate,24,32,9
EventSleep,32,24,2
Wake,40,32,5
Eat,24,32,4
Tumble,24,32,8
Pose,24,40,3
Pull,40,48,7
Pain,40,48,12
Float,32,24,4
DeepBreath,24,40,9
Nod,32,40,3
Sit,32,32,3
LookUp,24,32,2
Sink,24,40,12
Trip,48,32,5
Laying,32,16,1
LeapForth,24,96,6
Head,24,40,1
Cringe,24,64,2
LostBalance,24,40,2
TumbleBack,24,32,10
Faint,40,32,4
HitGround,48,40,8
