Name,FrameWidth,FrameHeight,FrameCount
Walk,32,32,4
Attack,64,72,10
Shoot,40,32,11
Withdraw,32,16,7
Sleep,24,24,2
Hurt,40,56,2
Idle,32,32,8
Swing,80,80,9
Double,56,56,16
Hop,32,72,10
Charge,32,32,10
Rotate,32,32,9
EventSleep,40,24,2
Wake,40,32,5
Eat,24,32,4
Tumble,24,40,8
Pose,24,32,3
Pull,32,40,7
Pain,32,40,12
Float,32,24,4
DeepBreath,24,32,9
Nod,32,32,3
Sit,24,32,3
LookUp,24,32,2
Sink,24,32,12
Trip,40,32,5
Laying,40,16,1
LeapForth,24,72,6
Head,24,32,1
Cringe,24,48,2
LostBalance,24,32,2
TumbleBack,24,40,10
Faint,40,32,4
HitGround,40,32,8
