Name,FrameWidth,FrameHeight,FrameCount
Walk,24,32,4
Attack,64,80,10
Strike,64,72,9
Shoot,24,40,12
MultiStrike,64,72,13
Sleep,24,32,2
Hurt,40,56,2
Idle,32,32,4
Swing,72,80,9
Double,48,64,16
Hop,24,80,10
Charge,24,40,10
Rotate,24,32,9
EventSleep,24,24,2
Wake,24,32,5
Eat,24,32,4
Tumble,24,40,8
Pose,24,32,3
Pull,32,32,7
Pain,24,40,12
Float,24,24,4
DeepBreath,24,32,9
Nod,24,32,3
Sit,24,32,3
LookUp,24,32,3
Sink,24,32,12
Trip,32,32,5
Laying,24,24,1
LeapForth,24,72,6
Head,24,40,1
Cringe,24,48,2
LostBalance,24,32,2
TumbleBack,24,40,10
Faint,40,32,4
HitGround,32,40,8
