Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,8
Attack,72,72,14
Twirl,32,48,23
Sleep,24,24,2
Hurt,48,48,2
Idle,24,32,5
Swing,72,72,9
Double,48,48,16
Hop,24,72,10
Charge,24,24,10
Rotate,24,24,9
EventSleep,24,24,2
Wake,24,24,6
Eat,24,24,4
Tumble,24,40,8
Pose,24,32,5
Pull,32,32,7
Pain,24,32,12
Float,24,24,4
DeepBreath,24,24,9
Nod,24,24,3
Sit,24,24,3
LookUp,24,24,3
Sink,24,32,12
Trip,24,32,5
Laying,24,24,1
LeapForth,24,64,6
Head,24,32,1
Cringe,32,48,2
LostBalance,24,24,2
TumbleBack,24,32,10
Faint,32,24,4
HitGround,24,32,8
