Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,4
Attack,72,80,11
Strike,72,88,13
Withdraw,32,40,5
Sleep,24,32,2
Hurt,48,64,2
Idle,32,40,4
Swing,72,80,9
Double,56,64,16
Hop,32,88,10
Charge,32,40,10
Rotate,32,40,9
EventSleep,32,24,2
Wake,32,32,5
Eat,24,40,4
Tumble,32,40,8
Pose,32,40,3
Pull,40,40,7
Pain,40,40,12
Float,32,24,4
DeepBreath,32,40,9
Nod,32,40,3
Sit,24,40,3
LookUp,24,40,2
Sink,24,40,12
Trip,32,32,5
Laying,32,24,1
LeapForth,24,80,6
Head,24,40,1
Cringe,32,64,2
LostBalance,24,40,2
TumbleBack,32,40,10
Faint,32,32,4
HitGround,32,40,8
