Name,FrameWidth,FrameHeight,FrameCount
Walk,40,40,4
Attack,64,72,9
Shoot,48,40,13
RearUp,32,56,13
Sleep,32,32,2
Hurt,48,56,2
Idle,40,40,14
Swing,80,80,9
Double,56,72,16
Hop,40,96,11
Charge,40,40,10
Rotate,32,40,9
EventSleep,32,24,2
Wake,40,40,5
Eat,32,40,4
Tumble,32,40,8
Pose,32,40,3
Pull,32,32,7
Pain,32,48,12
Float,32,24,4
DeepBreath,32,40,9
Nod,32,40,3
Sit,40,32,3
LookUp,32,40,3
Sink,32,32,12
Trip,40,40,5
Laying,32,24,1
LeapForth,32,80,6
Head,24,40,1
Cringe,32,56,2
LostBalance,32,32,2
TumbleBack,32,40,10
Faint,32,32,4
HitGround,40,40,8
