Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,4
Attack,64,80,10
Shoot,48,56,10
Shock,56,64,13
Sleep,32,32,2
Hurt,48,56,2
Idle,32,40,2
Swing,80,80,9
Double,56,72,16
Hop,32,88,10
Charge,48,48,10
Rotate,32,40,9
EventSleep,32,24,2
Wake,32,40,6
Eat,24,40,4
Tumble,32,40,9
Pose,32,48,5
Pull,32,48,7
Pain,32,48,12
Float,32,32,4
DeepBreath,24,40,9
Nod,32,40,3
Sit,24,40,3
LookUp,24,40,3
Sink,24,40,12
Trip,32,40,5
Laying,32,24,1
LeapForth,24,88,6
Head,24,48,1
Cringe,40,56,2
LostBalance,24,40,2
TumbleBack,32,40,10
Faint,32,40,4
HitGround,32,48,7
