Name,FrameWidth,FrameHeight,FrameCount
Walk,48,56,6
Attack,80,88,11
Punch,80,88,15
Shoot,56,64,13
Hover,48,72,13
Sleep,32,40,2
Hurt,48,72,2
Idle,32,64,8
Swing,80,88,9
Double,64,80,16
Hop,40,104,10
Charge,32,56,10
Rotate,32,48,9
EventSleep,40,24,2
Wake,40,48,5
Eat,32,48,4
Tumble,32,48,8
Pose,32,56,3
Pull,24,48,7
Pain,32,48,12
Float,40,24,4
DeepBreath,32,48,9
Nod,32,48,3
Sit,32,48,3
LookUp,32,48,3
Sink,32,40,12
Trip,48,48,5
Laying,40,24,1
LeapForth,32,80,6
Head,24,32,1
Cringe,32,64,2
LostBalance,32,48,2
TumbleBack,32,40,10
Faint,40,48,4
HitGround,32,56,8
