Name,FrameWidth,FrameHeight,FrameCount
Walk,40,48,7
Attack,64,72,11
Shoot,32,40,8
TailWhip,24,32,12
Sleep,32,24,2
Hurt,48,48,2
Idle,24,32,2
Swing,80,72,9
Double,48,64,16
Hop,32,80,10
Charge,24,40,10
Rotate,24,32,9
EventSleep,24,16,2
Wake,32,32,6
Eat,24,32,4
Tumble,24,40,9
Pose,24,40,5
Pull,40,40,7
Pain,32,40,12
Float,32,24,4
DeepBreath,24,32,9
Nod,32,32,3
Sit,24,32,3
LookUp,24,32,3
Sink,32,40,12
Trip,40,32,5
Laying,24,16,1
LeapForth,24,80,6
Head,24,40,1
Cringe,32,48,2
LostBalance,32,40,2
TumbleBack,24,40,10
Faint,40,32,4
HitGround,32,40,8
