Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,4
Attack,80,80,10
QuickStrike,120,136,10
Shoot,40,56,11
Shock,48,64,13
Sleep,32,40,2
Hurt,48,64,2
Idle,40,56,6
Swing,80,96,9
Double,64,64,16
Hop,40,88,10
Charge,40,40,10
Rotate,32,40,9
EventSleep,24,32,2
Wake,40,40,5
Eat,24,48,4
Tumble,24,40,8
Pose,32,40,3
Pull,32,40,7
Pain,40,48,12
Float,24,32,4
DeepBreath,24,48,9
Nod,32,48,3
Sit,32,40,3
LookUp,32,40,3
Sink,24,40,12
Trip,40,40,5
Laying,24,32,1
LeapForth,24,72,5
Head,24,48,1
Cringe,24,64,2
LostBalance,32,40,2
TumbleBack,32,40,10
Faint,40,40,4
HitGround,40,40,8
