Name,FrameWidth,FrameHeight,FrameCount
Walk,32,40,4
Attack,64,72,11
Shoot,40,40,8
TailWhip,32,40,10
Sleep,32,32,2
Hurt,48,56,2
Idle,32,40,4
Swing,80,80,9
Double,56,64,16
Hop,32,80,10
Charge,32,40,10
Rotate,32,40,9
EventSleep,40,24,2
Wake,40,40,6
Eat,24,40,4
Tumble,24,40,8
Pose,24,48,5
Pull,32,48,7
Pain,40,48,12
Float,40,24,4
DeepBreath,24,40,9
Nod,32,40,3
Sit,24,32,3
LookUp,24,32,3
Sink,24,40,12
Trip,32,40,5
Laying,40,16,1
LeapForth,24,72,6
Head,24,40,1
Cringe,24,56,2
LostBalance,24,40,2
TumbleBack,24,48,10
Faint,32,40,4
HitGround,32,40,8
