Name,FrameWidth,FrameHeight,FrameCount
Walk,40,64,6
Attack,64,88,14
Shoot,40,64,12
Twirl,32,72,10
Sleep,24,56,6
Hurt,40,64,2
Idle,32,56,4
Swing,88,104,9
Double,64,80,16
Hop,40,104,10
Charge,40,48,10
Rotate,32,56,9
EventSleep,24,24,2
Wake,32,48,5
Eat,24,40,4
Tumble,24,32,8
Pose,32,40,3
Pull,32,32,7
Pain,40,56,12
Float,24,24,4
DeepBreath,24,56,9
Nod,24,56,3
Sit,24,40,3
LookUp,24,40,2
Sink,24,40,12
Trip,40,48,5
Laying,24,16,1
LeapForth,24,88,6
Head,24,32,1
Cringe,32,56,2
LostBalance,24,40,2
TumbleBack,24,40,10
Faint,40,48,4
HitGround,40,48,8
