Name,FrameWidth,FrameHeight,FrameCount
Walk,32,32,4
Attack,64,72,10
Strike,64,80,10
SpAttack,40,40,5
Sleep,24,32,2
Hurt,48,64,2
Idle,32,40,6
Swing,72,80,9
Double,56,56,16
Hop,32,80,10
Charge,32,32,10
Rotate,32,32,9
EventSleep,32,24,2
Wake,32,32,5
Eat,24,32,4
Tumble,24,32,8
Pose,32,40,3
Pull,40,40,7
Float,32,32,4
DeepBreath,26,32,9
Nod,24,32,5
Sit,24,32,3
LookUp,24,32,2
Sink,24,32,12
Trip,32,32,5
Laying,32,24,1
LeapForth,24,72,6
Head,24,40,1
Cringe,32,64,2
LostBalance,24,32,2
TumbleBack,24,32,10
Faint,32,32,4
HitGround,32,32,8
